t,u[0]
0,1
0.1,0.664062
0.2,0.440979
0.3,0.296283
0.4,0.194436
0.5,0.127598
0.6,0.0877239
0.7,0.0603102
0.8,0.0376938
0.9,0.0282704
1,0.0212028
1.1,0.0159021
1.2,0.00795105
1.3,0.00397552
1.4,0.00198776
1.5,0.000993881
1.6,0.00049694
1.7,0.00024847
1.8,0.000124235
1.9,6.21175e-05
2,3.10588e-05
2.1,1.55294e-05
2.2,7.76469e-06
2.3,3.88235e-06
2.4,1.94117e-06
2.5,9.70587e-07
2.6,4.85293e-07
2.7,2.42647e-07
2.8,1.21323e-07
2.9,6.06617e-08
3,3.03308e-08
3.1,1.51654e-08
3.2,7.58271e-09
3.3,3.79135e-09
3.4,1.89568e-09
3.5,9.47838e-10
3.6,4.73919e-10
3.7,2.3696e-10
3.8,1.1848e-10
3.9,5.92399e-11
4,2.962e-11
4.1,1.481e-11
4.2,7.40499e-12
4.3,3.70249e-12
4.4,1.85125e-12
4.5,9.25624e-13
4.6,4.62812e-13
4.7,2.31406e-13
4.8,1.15703e-13
4.9,5.78515e-14
5,2.89257e-14
