t,u[0],u[1],u[2]
7.51,17.503,14.545,41.6015
7.515,17.3551,13.1944,42.3197
7.52,17.147,11.799,42.9004
7.525,16.8796,10.3768,43.34
7.53,16.5545,8.94587,43.6379
7.535,16.1741,7.52397,43.7966
7.54,15.7416,6.12801,43.8211
7.545,15.2609,4.77342,43.7191
7.55,14.7365,3.47381,43.5004
7.555,14.1734,2.24065,43.1764
7.56,13.5767,1.08308,42.7595
7.565,12.9521,0.00784952,42.2629
7.57,12.3048,-0.980618,41.6999
7.575,11.6406,-1.88011,41.0835
7.58,10.9645,-2.69042,40.4263
7.585,10.2818,-3.41303,39.7398
7.59,9.59705,-4.05091,39.0345
7.595,8.91465,-4.60813,38.3197
7.6,8.23851,-5.08965,37.6033
7.605,7.57211,-5.50098,36.8923
7.61,6.91845,-5.848,36.1921
7.615,6.28013,-6.13674,35.5073
7.62,5.65929,-6.37319,34.8411
7.625,5.05766,-6.5632,34.1963
7.63,4.47662,-6.71236,33.5743
7.635,3.91717,-6.82595,32.9764
7.64,3.38001,-6.90888,32.4031
7.645,2.86557,-6.96564,31.8543
7.65,2.37401,-7.00037,31.3297
7.655,1.90529,-7.01676,30.8289
7.66,1.45919,-7.01815,30.351
7.665,1.03532,-7.00751,29.8951
7.67,0.633179,-6.98746,29.4602
7.675,0.252147,-6.96031,29.0453
7.68,-0.108476,-6.92809,28.6493
7.685,-0.449456,-6.89255,28.271
7.69,-0.771611,-6.85523,27.9096
7.695,-1.07579,-6.81745,27.5639
7.7,-1.36288,-6.78033,27.2331
7.705,-1.63375,-6.74484,26.9162
7.71,-1.8893,-6.7118,26.6124
7.715,-2.13043,-6.6819,26.3209
7.72,-2.358,-6.65573,26.0412
7.725,-2.57289,-6.63375,25.7724
7.73,-2.77593,-6.61637,25.5141
7.735,-2.96795,-6.60392,25.2658
7.74,-3.14975,-6.59663,25.0269
7.745,-3.32209,-6.59472,24.7971
7.75,-3.48573,-6.59834,24.576
7.755,-3.64136,-6.6076,24.3633
7.76,-3.78967,-6.62256,24.1588
7.765,-3.93131,-6.64329,23.9622
7.77,-4.06691,-6.66978,23.7732
7.775,-4.19706,-6.70205,23.5919
7.78,-4.32231,-6.74006,23.418
7.785,-4.44319,-6.78377,23.2514
7.79,-4.56022,-6.83313,23.0921
7.795,-4.67387,-6.88807,22.94
7.8,-4.78458,-6.94851,22.7951
7.805,-4.89277,-7.01436,22.6574
7.81,-4.99885,-7.08552,22.5269
7.815,-5.10319,-7.1619,22.4036
7.82,-5.20612,-7.24337,22.2877
7.825,-5.30798,-7.32982,22.179
7.83,-5.40908,-7.42112,22.0779
7.835,-5.50968,-7.51713,21.9842
7.84,-5.61005,-7.61772,21.8982
7.845,-5.71043,-7.72274,21.8199
7.85,-5.81105,-7.83203,21.7494
7.855,-5.9121,-7.94543,21.687
7.86,-6.01377,-8.06276,21.6327
7.865,-6.11622,-8.18383,21.5867
7.87,-6.2196,-8.30846,21.5492
7.875,-6.32404,-8.43642,21.5202
7.88,-6.42966,-8.56751,21.5
7.885,-6.53655,-8.70149,21.4888
7.89,-6.6448,-8.83811,21.4867
7.895,-6.75446,-8.97709,21.4938
7.9,-6.8656,-9.11816,21.5104
7.905,-6.97822,-9.26102,21.5366
7.91,-7.09236,-9.40533,21.5726
7.915,-7.20801,-9.55077,21.6185
7.92,-7.32515,-9.69697,21.6744
7.925,-7.44374,-9.84354,21.7406
7.93,-7.56373,-9.99007,21.8171
7.935,-7.68505,-10.1361,21.904
7.94,-7.8076,-10.2813,22.0015
7.945,-7.93128,-10.425,22.1095
7.95,-8.05597,-10.5668,22.2281
7.955,-8.18151,-10.7062,22.3573
7.96,-8.30774,-10.8426,22.4972
7.965,-8.43449,-10.9754,22.6476
7.97,-8.56153,-11.1041,22.8085
7.975,-8.68866,-11.228,22.9797
7.98,-8.81562,-11.3465,23.1611
7.985,-8.94217,-11.459,23.3524
7.99,-9.06801,-11.5648,23.5534
7.995,-9.19285,-11.6632,23.7637
8,-9.31636,-11.7536,23.983
8.005,-9.43823,-11.8354,24.2107
8.01,-9.55809,-11.9079,24.4464
8.015,-9.67558,-11.9704,24.6895
8.02,-9.79031,-12.0223,24.9394
8.025,-9.90191,-12.063,25.1954
8.03,-10.01,-12.0921,25.4567
8.035,-10.1141,-12.1089,25.7225
8.04,-10.2138,-12.1129,25.9919
8.045,-10.3088,-12.1038,26.2639
8.05,-10.3985,-12.0812,26.5376
8.055,-10.4827,-12.0449,26.8119
8.06,-10.5608,-11.9945,27.0857
8.065,-10.6325,-11.93,27.358
8.07,-10.6973,-11.8513,27.6274
8.075,-10.755,-11.7585,27.8929
8.08,-10.8052,-11.6517,28.1533
8.085,-10.8475,-11.5311,28.4075
8.09,-10.8817,-11.3971,28.6541
8.095,-10.9075,-11.2502,28.8922
8.1,-10.9246,-11.0907,29.1205
8.105,-10.9329,-10.9194,29.338
8.11,-10.9323,-10.737,29.5438
8.115,-10.9225,-10.5443,29.7367
8.12,-10.9036,-10.3421,29.9161
8.125,-10.8755,-10.1314,30.0811
8.13,-10.8383,-9.91323,30.2309
8.135,-10.7921,-9.68858,30.365
8.14,-10.7369,-9.45856,30.483
8.145,-10.673,-9.22429,30.5843
8.15,-10.6005,-8.98689,30.6688
8.155,-10.5198,-8.7475,30.7362
8.16,-10.4312,-8.50724,30.7865
8.165,-10.335,-8.26722,30.8197
8.17,-10.2316,-8.0285,30.836
8.175,-10.1215,-7.79212,30.8355
8.18,-10.005,-7.55905,30.8187
8.185,-9.88272,-7.33022,30.786
8.19,-9.75509,-7.10649,30.7377
8.195,-9.62266,-6.88865,30.6745
8.2,-9.48596,-6.67742,30.5969
8.205,-9.34553,-6.47343,30.5057
8.21,-9.20193,-6.27725,30.4014
8.215,-9.05569,-6.08936,30.2849
8.22,-8.90738,-5.91018,30.1568
8.225,-8.75752,-5.74004,30.0179
8.23,-8.60664,-5.57919,29.869
8.235,-8.45527,-5.42783,29.7109
8.24,-8.3039,-5.28608,29.5442
8.245,-8.15301,-5.15402,29.3698
8.25,-8.00306,-5.03165,29.1883
8.255,-7.85449,-4.91892,29.0004
8.26,-7.70771,-4.81577,28.8069
8.265,-7.56311,-4.72205,28.6084
8.27,-7.42106,-4.63762,28.4056
8.275,-7.28189,-4.56228,28.1989
8.28,-7.14591,-4.49581,27.989
8.285,-7.0134,-4.438,27.7765
8.29,-6.88463,-4.38858,27.5617
8.295,-6.75983,-4.3473,27.3453
8.3,-6.6392,-4.31389,27.1276
8.305,-6.52294,-4.28808,26.9092
8.31,-6.41119,-4.26961,26.6902
8.315,-6.30412,-4.25819,26.4712
8.32,-6.20182,-4.25357,26.2525
8.325,-6.10441,-4.25548,26.0344
8.33,-6.01196,-4.26367,25.8171
8.335,-5.92455,-4.27791,25.601
8.34,-5.84221,-4.29796,25.3864
8.345,-5.765,-4.32361,25.1735
8.35,-5.69293,-4.35464,24.9625
8.355,-5.62602,-4.39086,24.7536
8.36,-5.56426,-4.4321,24.5471
8.365,-5.50765,-4.47819,24.3431
8.37,-5.45618,-4.52896,24.1418
8.375,-5.40982,-4.58429,23.9435
8.38,-5.36854,-4.64405,23.7482
8.385,-5.33232,-4.70811,23.5563
8.39,-5.30111,-4.77639,23.3677
8.395,-5.27487,-4.84878,23.1827
8.4,-5.25357,-4.92522,23.0015
8.405,-5.23715,-5.00562,22.8242
8.41,-5.22557,-5.08994,22.6509
8.415,-5.21879,-5.17812,22.4819
8.42,-5.21676,-5.27013,22.3173
8.425,-5.21943,-5.36592,22.1572
8.43,-5.22675,-5.46547,22.0018
8.435,-5.23869,-5.56877,21.8513
8.44,-5.25519,-5.67579,21.7058
8.445,-5.27622,-5.78652,21.5655
8.45,-5.30173,-5.90095,21.4306
8.455,-5.3317,-6.01909,21.3013
8.46,-5.36607,-6.14091,21.1777
8.465,-5.40481,-6.26642,21.0601
8.47,-5.44789,-6.3956,20.9487
8.475,-5.49527,-6.52846,20.8436
8.48,-5.54693,-6.66497,20.745
8.485,-5.60283,-6.80513,20.6533
8.49,-5.66295,-6.9489,20.5686
8.495,-5.72725,-7.09626,20.4911
8.5,-5.7957,-7.24717,20.4211
8.505,-5.86827,-7.40158,20.3588
8.51,-5.94494,-7.55944,20.3045
8.515,-6.02566,-7.72066,20.2585
8.52,-6.11041,-7.88517,20.221
8.525,-6.19915,-8.05285,20.1923
8.53,-6.29183,-8.2236,20.1727
8.535,-6.38842,-8.39727,20.1624
8.54,-6.48887,-8.57369,20.1618
8.545,-6.59311,-8.75268,20.1711
8.55,-6.70109,-8.93403,20.1907
8.555,-6.81273,-9.11751,20.2208
8.56,-6.92797,-9.30285,20.2618
8.565,-7.04672,-9.48974,20.3139
8.57,-7.16887,-9.67787,20.3774
8.575,-7.29432,-9.86686,20.4526
8.58,-7.42294,-10.0563,20.5398
8.585,-7.55461,-10.2458,20.6391
8.59,-7.68917,-10.4348,20.751
8.595,-7.82646,-10.6229,20.8755
8.6,-7.96628,-10.8095,21.0128
8.605,-8.10844,-10.9939,21.1632
8.61,-8.25271,-11.1756,21.3268
8.615,-8.39886,-11.3538,21.5035
8.62,-8.5466,-11.5278,21.6936
8.625,-8.69566,-11.697,21.897
8.63,-8.84573,-11.8603,22.1136
8.635,-8.99646,-12.0172,22.3433
8.64,-9.1475,-12.1665,22.586
8.645,-9.29845,-12.3076,22.8413
8.65,-9.44891,-12.4394,23.1089
8.655,-9.59843,-12.561,23.3885
8.66,-9.74656,-12.6716,23.6795
8.665,-9.89281,-12.77,23.9813
8.67,-10.0367,-12.8555,24.2932
8.675,-10.1776,-12.927,24.6144
8.68,-10.3151,-12.9838,24.9441
8.685,-10.4485,-13.0249,25.2811
8.69,-10.5773,-13.0496,25.6245
8.695,-10.701,-13.0571,25.973
8.7,-10.8188,-13.0468,26.3253
8.705,-10.9302,-13.018,26.68
8.71,-11.0346,-12.9704,27.0358
8.715,-11.1313,-12.9036,27.3909
8.72,-11.22,-12.8173,27.7439
8.725,-11.2998,-12.7115,28.093
8.73,-11.3704,-12.5862,28.4366
8.735,-11.4312,-12.4416,28.773
8.74,-11.4817,-12.278,29.1005
8.745,-11.5215,-12.0961,29.4173
8.75,-11.5503,-11.8963,29.7219
8.755,-11.5676,-11.6797,30.0127
8.76,-11.5732,-11.447,30.288
8.765,-11.5669,-11.1995,30.5466
8.77,-11.5485,-10.9384,30.787
8.775,-11.518,-10.665,31.0081
8.78,-11.4753,-10.3809,31.2089
8.785,-11.4206,-10.0875,31.3884
8.79,-11.354,-9.78647,31.5459
8.795,-11.2756,-9.47946,31.6809
8.8,-11.1858,-9.16817,31.7929
8.805,-11.0849,-8.85427,31.8817
8.81,-10.9734,-8.53943,31.9474
8.815,-10.8517,-8.22528,31.99
8.82,-10.7204,-7.91341,32.0097
8.825,-10.58,-7.60531,32.0071
8.83,-10.4313,-7.30241,31.9827
8.835,-10.2748,-7.00602,31.9371
8.84,-10.1114,-6.71735,31.8712
8.845,-9.94169,-6.43749,31.7858
8.85,-9.76648,-6.16741,31.682
8.855,-9.58652,-5.90794,31.5608
8.86,-9.4026,-5.65979,31.4231
8.865,-9.21545,-5.42354,31.2703
8.87,-9.02586,-5.19966,31.1032
8.875,-8.83455,-4.98849,30.9232
8.88,-8.64225,-4.79025,30.7312
8.885,-8.44965,-4.60507,30.5285
8.89,-8.25742,-4.43297,30.316
8.895,-8.0662,-4.2739,30.0948
8.9,-7.87658,-4.12772,29.8659
8.905,-7.68914,-3.99421,29.6302
8.91,-7.50439,-3.87312,29.3887
8.915,-7.32283,-3.76412,29.1422
8.92,-7.14489,-3.66687,28.8915
8.925,-6.97099,-3.58096,28.6372
8.93,-6.80149,-3.50599,28.3802
8.935,-6.63671,-3.44152,28.121
8.94,-6.47696,-3.38712,27.8603
8.945,-6.32246,-3.34232,27.5985
8.95,-6.17346,-3.30669,27.3362
8.955,-6.03012,-3.27978,27.0738
8.96,-5.8926,-3.26115,26.8117
8.965,-5.76103,-3.25039,26.5503
8.97,-5.6355,-3.2471,26.2899
8.975,-5.51608,-3.25087,26.0309
8.98,-5.40282,-3.26134,25.7735
8.985,-5.29574,-3.27817,25.5179
8.99,-5.19486,-3.30102,25.2645
8.995,-5.10017,-3.3296,25.0134
9,-5.01164,-3.36361,24.7648
9.005,-4.92924,-3.4028,24.5188
9.01,-4.85292,-3.44694,24.2758
9.015,-4.78262,-3.49581,24.0358
9.02,-4.71828,-3.54921,23.7989
9.025,-4.65983,-3.60699,23.5653
9.03,-4.60718,-3.66898,23.3351
9.035,-4.56027,-3.73506,23.1085
9.04,-4.51901,-3.80511,22.8856
9.045,-4.48332,-3.87905,22.6664
9.05,-4.45311,-3.9568,22.4511
9.055,-4.42829,-4.0383,22.2399
9.06,-4.40879,-4.12351,22.0328
9.065,-4.39453,-4.21239,21.8299
9.07,-4.38542,-4.30493,21.6314
9.075,-4.38139,-4.40112,21.4374
9.08,-4.38238,-4.50097,21.2479
9.085,-4.38831,-4.60451,21.0633
9.09,-4.39912,-4.71175,20.8834
9.095,-4.41475,-4.82273,20.7086
9.1,-4.43515,-4.93749,20.539
9.105,-4.46027,-5.05608,20.3746
9.11,-4.49006,-5.17855,20.2157
9.115,-4.52448,-5.30497,20.0624
9.12,-4.56351,-5.43539,19.9149
9.125,-4.6071,-5.56987,19.7734
9.13,-4.65524,-5.70849,19.6381
9.135,-4.7079,-5.85131,19.5091
9.14,-4.76507,-5.99838,19.3867
9.145,-4.82674,-6.14978,19.2712
9.15,-4.89289,-6.30556,19.1626
9.155,-4.96352,-6.46576,19.0614
9.16,-5.03864,-6.63045,18.9677
9.165,-5.11823,-6.79966,18.8818
9.17,-5.2023,-6.97341,18.8041
9.175,-5.29085,-7.15174,18.7348
9.18,-5.3839,-7.33463,18.6742
9.185,-5.48143,-7.52208,18.6226
9.19,-5.58347,-7.71407,18.5805
9.195,-5.69,-7.91055,18.5481
9.2,-5.80102,-8.11146,18.5258
9.205,-5.91655,-8.31669,18.5141
9.21,-6.03655,-8.52615,18.5133
9.215,-6.16103,-8.73967,18.5238
9.22,-6.28996,-8.95708,18.546
9.225,-6.42332,-9.17817,18.5804
9.23,-6.56106,-9.40269,18.6275
9.235,-6.70314,-9.63034,18.6876
9.24,-6.8495,-9.86078,18.7612
9.245,-7.00007,-10.0936,18.8487
9.25,-7.15475,-10.3285,18.9507
9.255,-7.31343,-10.5648,19.0675
9.26,-7.476,-10.802,19.1996
9.265,-7.6423,-11.0396,19.3474
9.27,-7.81217,-11.2768,19.5112
9.275,-7.9854,-11.5129,19.6916
9.28,-8.16178,-11.7472,19.8887
9.285,-8.34105,-11.9787,20.1029
9.29,-8.52293,-12.2064,20.3344
9.295,-8.7071,-12.4294,20.5835
9.3,-8.89322,-12.6466,20.8502
9.305,-9.08089,-12.8569,21.1345
9.31,-9.26969,-13.0589,21.4365
9.315,-9.45915,-13.2515,21.7559
9.32,-9.64876,-13.4332,22.0926
9.325,-9.83798,-13.6028,22.4461
9.33,-10.0262,-13.7588,22.8159
9.335,-10.2129,-13.8998,23.2014
9.34,-10.3972,-14.0242,23.6019
9.345,-10.5786,-14.1308,24.0162
9.35,-10.7562,-14.2179,24.4434
9.355,-10.9292,-14.2843,24.8822
9.36,-11.097,-14.3286,25.331
9.365,-11.2586,-14.3496,25.7883
9.37,-11.4131,-14.3461,26.2522
9.375,-11.5598,-14.317,26.7209
9.38,-11.6976,-14.2616,27.1921
9.385,-11.8258,-14.179,27.6637
9.39,-11.9435,-14.0689,28.1332
9.395,-12.0498,-13.9309,28.5983
9.4,-12.1438,-13.7649,29.0563
9.405,-12.2249,-13.5712,29.5046
9.41,-12.2922,-13.3503,29.9408
9.415,-12.3451,-13.1028,30.3621
9.42,-12.383,-12.8298,30.766
9.425,-12.4053,-12.5324,31.1502
9.43,-12.4117,-12.2123,31.5122
9.435,-12.4017,-11.8713,31.8499
9.44,-12.3752,-11.5112,32.1614
9.445,-12.332,-11.1343,32.4448
9.45,-12.2721,-10.7429,32.6987
9.455,-12.1956,-10.3395,32.9219
9.46,-12.1028,-9.92666,33.1135
9.465,-11.994,-9.50707,33.2727
9.47,-11.8697,-9.08336,33.3992
9.475,-11.7304,-8.65817,33.4929
9.48,-11.5767,-8.23406,33.5542
9.485,-11.4096,-7.81351,33.5834
9.49,-11.2298,-7.39887,33.5814
9.495,-11.0383,-6.99234,33.5491
9.5,-10.836,-6.59592,33.4876
9.505,-10.624,-6.21145,33.3985
9.51,-10.4033,-5.8405,33.2831
9.515,-10.1752,-5.48447,33.1432
9.52,-9.94066,-5.14451,32.9803
9.525,-9.70085,-4.82154,32.7963
9.53,-9.45689,-4.51629,32.5928
9.535,-9.20986,-4.22926,32.3718
9.54,-8.96083,-3.96074,32.1349
9.545,-8.71082,-3.71087,31.8839
9.55,-8.46083,-3.4796,31.6204
9.555,-8.21176,-3.26674,31.346
9.56,-7.96451,-3.07196,31.0622
9.565,-7.71989,-2.89484,30.7704
9.57,-7.47863,-2.73483,30.4719
9.575,-7.24144,-2.59133,30.1678
9.58,-7.00894,-2.46367,29.8594
9.585,-6.78167,-2.35115,29.5476
9.59,-6.56015,-2.25301,29.2334
9.595,-6.34479,-2.16848,28.9175
9.6,-6.13597,-2.09681,28.6007
9.605,-5.93402,-2.03722,28.2837
9.61,-5.73918,-1.98894,27.967
9.615,-5.55166,-1.95125,27.6512
9.62,-5.37164,-1.92341,27.3367
9.625,-5.19923,-1.90475,27.0239
9.63,-5.03451,-1.89461,26.7131
9.635,-4.87751,-1.89236,26.4046
9.64,-4.72826,-1.89742,26.0987
9.645,-4.58671,-1.90924,25.7956
9.65,-4.45284,-1.92731,25.4954
9.655,-4.32656,-1.95118,25.1984
9.66,-4.20779,-1.98039,24.9046
9.665,-4.09642,-2.01458,24.6142
9.67,-3.99233,-2.05337,24.3273
9.675,-3.89538,-2.09646,24.0439
9.68,-3.80544,-2.14355,23.7642
9.685,-3.72234,-2.1944,23.4881
9.69,-3.64595,-2.24879,23.2158
9.695,-3.57609,-2.30653,22.9472
9.7,-3.51261,-2.36747,22.6825
9.705,-3.45535,-2.43146,22.4216
9.71,-3.40416,-2.4984,22.1647
9.715,-3.35887,-2.56821,21.9117
9.72,-3.31934,-2.64082,21.6627
9.725,-3.28541,-2.7162,21.4176
9.73,-3.25695,-2.79432,21.1767
9.735,-3.23382,-2.87518,20.9398
9.74,-3.21589,-2.95879,20.7071
9.745,-3.20303,-3.04518,20.4786
9.75,-3.19514,-3.1344,20.2543
9.755,-3.1921,-3.22649,20.0344
9.76,-3.19382,-3.32154,19.8187
9.765,-3.20021,-3.41961,19.6075
9.77,-3.21118,-3.5208,19.4008
9.775,-3.22666,-3.6252,19.1987
9.78,-3.24659,-3.73294,19.0012
9.785,-3.2709,-3.84412,18.8084
9.79,-3.29956,-3.95887,18.6205
9.795,-3.33253,-4.07732,18.4375
9.8,-3.36977,-4.1996,18.2596
9.805,-3.41126,-4.32587,18.0869
9.81,-3.45699,-4.45627,17.9196
9.815,-3.50696,-4.59094,17.7577
9.82,-3.56115,-4.73005,17.6014
9.825,-3.6196,-4.87375,17.4509
9.83,-3.68231,-5.0222,17.3065
9.835,-3.7493,-5.17556,17.1682
9.84,-3.82061,-5.33399,17.0363
9.845,-3.89628,-5.49766,16.911
9.85,-3.97635,-5.66672,16.7927
9.855,-4.06087,-5.84133,16.6814
9.86,-4.14989,-6.02163,16.5776
9.865,-4.24348,-6.20778,16.4815
9.87,-4.3417,-6.39992,16.3935
9.875,-4.44461,-6.59817,16.3138
9.88,-4.55228,-6.80266,16.2429
9.885,-4.6648,-7.01349,16.1812
9.89,-4.78224,-7.23076,16.129
9.895,-4.90466,-7.45455,16.0869
9.9,-5.03216,-7.6849,16.0552
9.905,-5.1648,-7.92186,16.0345
9.91,-5.30265,-8.16542,16.0253
9.915,-5.44579,-8.41557,16.0281
9.92,-5.59428,-8.67224,16.0435
9.925,-5.74817,-8.93535,16.0722
9.93,-5.90753,-9.20475,16.1147
9.935,-6.07239,-9.48025,16.1717
9.94,-6.24279,-9.76162,16.2439
9.945,-6.41873,-10.0485,16.3321
9.95,-6.60022,-10.3407,16.4368
9.955,-6.78724,-10.6376,16.5589
9.96,-6.97976,-10.9387,16.6991
9.965,-7.17771,-11.2435,16.8582
9.97,-7.381,-11.5513,17.0369
9.975,-7.58951,-11.8612,17.2361
9.98,-7.80309,-12.1724,17.4564
9.985,-8.02156,-12.4839,17.6985
9.99,-8.24468,-12.7945,17.9632
9.995,-8.47217,-13.1031,18.2512
10,-8.70372,-13.4082,18.5629
10.005,-8.93894,-13.7083,18.8989
10.01,-9.17741,-14.0019,19.2596
10.015,-9.41863,-14.287,19.6453
10.02,-9.66205,-14.5619,20.0562
10.025,-9.90705,-14.8246,20.4922
10.03,-10.1529,-15.0728,20.9534
10.035,-10.3989,-15.3044,21.4391
10.04,-10.6442,-15.517,21.949
10.045,-10.8878,-15.7083,22.4822
10.05,-11.1289,-15.8757,23.0376
10.055,-11.3662,-16.0168,23.6138
10.06,-11.5987,-16.1291,24.2092
10.065,-11.8252,-16.2103,24.8218
10.07,-12.0445,-16.2581,25.4493
10.075,-12.2552,-16.2702,26.0891
10.08,-12.4559,-16.2446,26.7382
10.085,-12.6454,-16.1797,27.3934
10.09,-12.8221,-16.0739,28.0512
10.095,-12.9847,-15.9262,28.7077
10.1,-13.1318,-15.7357,29.3589
10.105,-13.2619,-15.5021,30.0006
10.11,-13.374,-15.2256,30.6285
10.115,-13.4665,-14.9069,31.2383
10.12,-13.5386,-14.547,31.8255
10.125,-13.589,-14.1476,32.3859
10.13,-13.6169,-13.7109,32.9153
10.135,-13.6216,-13.2396,33.41
10.14,-13.6025,-12.7368,33.8662
10.145,-13.5592,-12.2062,34.2809
10.15,-13.4916,-11.6515,34.6514
10.155,-13.3996,-11.0771,34.9754
10.16,-13.2834,-10.4874,35.2512
10.165,-13.1436,-9.88694,35.4777
10.17,-12.9808,-9.28037,35.6544
10.175,-12.7958,-8.67226,35.7813
10.18,-12.5896,-8.06708,35.8591
10.185,-12.3635,-7.46908,35.8888
10.19,-12.1188,-6.88225,35.872
10.195,-11.8569,-6.31025,35.8107
10.2,-11.5796,-5.75636,35.7073
10.205,-11.2884,-5.22344,35.5645
10.21,-10.9852,-4.71392,35.3852
10.215,-10.6716,-4.22979,35.1723
10.22,-10.3495,-3.77258,34.929
10.225,-10.0207,-3.34341,34.6585
10.23,-9.68683,-2.94298,34.3639
10.235,-9.34963,-2.5716,34.0483
10.24,-9.01073,-2.22925,33.7145
10.245,-8.67166,-1.91559,33.3654
10.25,-8.33385,-1.63002,33.0036
10.255,-7.99866,-1.3717,32.6315
10.26,-7.66731,-1.13962,32.2512
10.265,-7.34093,-0.932611,31.8649
10.27,-7.02051,-0.749383,31.4743
10.275,-6.70696,-0.588577,31.0809
10.28,-6.40104,-0.448781,30.6863
10.285,-6.10343,-0.328558,30.2915
10.29,-5.81468,-0.226469,29.8976
10.295,-5.53527,-0.141093,29.5056
10.3,-5.26556,-0.0710432,29.1161
10.305,-5.00584,-0.0149769,28.7297
10.31,-4.75629,0.0283912,28.347
10.315,-4.51706,0.0602834,27.9684
10.32,-4.28819,0.0818533,27.5941
10.325,-4.06969,0.0941824,27.2244
10.33,-3.8615,0.0982784,26.8595
10.335,-3.66351,0.0950748,26.4995
10.34,-3.47558,0.0854316,26.1444
10.345,-3.29753,0.0701365,25.7944
10.35,-3.12914,0.0499077,25.4493
10.355,-2.97019,0.0253959,25.1092
10.36,-2.82041,-0.00281165,24.774
10.365,-2.67953,-0.0341887,24.4437
10.37,-2.54727,-0.0682658,24.1183
10.375,-2.42332,-0.104627,23.7976
10.38,-2.30738,-0.142907,23.4815
10.385,-2.19916,-0.182784,23.1701
10.39,-2.09834,-0.223983,22.8632
10.395,-2.00462,-0.266266,22.5607
10.4,-1.9177,-0.30943,22.2625
10.405,-1.83729,-0.353309,21.9687
10.41,-1.76309,-0.397762,21.679
10.415,-1.69482,-0.44268,21.3934
10.42,-1.63222,-0.487978,21.112
10.425,-1.575,-0.533591,20.8344
10.43,-1.52293,-0.579476,20.5609
10.435,-1.47576,-0.625611,20.2911
10.44,-1.43325,-0.671987,20.0252
10.445,-1.39519,-0.71861,19.763
10.45,-1.36136,-0.765502,19.5045
10.455,-1.33157,-0.812695,19.2497
10.46,-1.30562,-0.860232,18.9984
10.465,-1.28336,-0.908166,18.7507
10.47,-1.2646,-0.956559,18.5065
10.475,-1.24919,-1.00548,18.2658
10.48,-1.23701,-1.05501,18.0286
10.485,-1.22791,-1.10522,17.7947
10.49,-1.22177,-1.15621,17.5642
10.495,-1.2185,-1.20807,17.3371
10.5,-1.21797,-1.2609,17.1133
10.505,-1.22012,-1.31481,16.8928
10.51,-1.22485,-1.36989,16.6756
10.515,-1.23211,-1.42627,16.4616
10.52,-1.24181,-1.48406,16.2509
10.525,-1.25393,-1.54338,16.0435
10.53,-1.2684,-1.60436,15.8392
10.535,-1.2852,-1.66712,15.6382
10.54,-1.30429,-1.7318,15.4404
10.545,-1.32567,-1.79852,15.2458
10.55,-1.34931,-1.86744,15.0545
10.555,-1.37522,-1.93869,14.8664
10.56,-1.40339,-2.01243,14.6815
10.565,-1.43384,-2.08881,14.4998
10.57,-1.46659,-2.16798,14.3215
10.575,-1.50166,-2.25011,14.1464
10.58,-1.53908,-2.33537,13.9747
10.585,-1.5789,-2.42393,13.8063
10.59,-1.62115,-2.51597,13.6414
10.595,-1.66589,-2.61167,13.4799
10.6,-1.71318,-2.71123,13.3219
10.605,-1.76308,-2.81483,13.1675
10.61,-1.81567,-2.9227,13.0168
10.615,-1.87102,-3.03503,12.8697
10.62,-1.92922,-3.15204,12.7265
10.625,-1.99036,-3.27397,12.5873
10.63,-2.05454,-3.40103,12.452
10.635,-2.12187,-3.53347,12.3209
10.64,-2.19245,-3.67154,12.1941
10.645,-2.2664,-3.81549,12.0718
10.65,-2.34386,-3.96558,11.9541
10.655,-2.42494,-4.12208,11.8412
10.66,-2.5098,-4.28526,11.7333
10.665,-2.59857,-4.45542,11.6306
10.67,-2.69142,-4.63284,11.5334
10.675,-2.78849,-4.81781,11.442
10.68,-2.88995,-5.01063,11.3566
10.685,-2.99599,-5.21162,11.2776
10.69,-3.10677,-5.42109,11.2053
10.695,-3.22248,-5.63934,11.1401
10.7,-3.34333,-5.86668,11.0824
10.705,-3.46949,-6.10344,11.0327
10.71,-3.60119,-6.34991,10.9915
10.715,-3.73863,-6.60641,10.9593
10.72,-3.88202,-6.87323,10.9366
10.725,-4.03158,-7.15065,10.9242
10.73,-4.18753,-7.43896,10.9227
10.735,-4.3501,-7.73838,10.9328
10.74,-4.51952,-8.04916,10.9554
10.745,-4.696,-8.37148,10.9912
10.75,-4.87977,-8.70551,11.0412
10.755,-5.07106,-9.05136,11.1064
10.76,-5.27007,-9.40909,11.1878
10.765,-5.47703,-9.7787,11.2866
10.77,-5.69211,-10.1601,11.4039
10.775,-5.91551,-10.5532,11.541
10.78,-6.14739,-10.9577,11.6992
10.785,-6.38791,-11.3732,11.8801
10.79,-6.63717,-11.7992,12.0849
10.795,-6.89528,-12.2352,12.3153
10.8,-7.16227,-12.6803,12.573
10.805,-7.43817,-13.1336,12.8594
10.81,-7.72294,-13.5938,13.1764
10.815,-8.01649,-14.0596,13.5257
10.82,-8.31864,-14.5294,13.9089
10.825,-8.62918,-15.0013,14.3277
10.83,-8.94778,-15.473,14.7839
10.835,-9.27405,-15.9422,15.2791
10.84,-9.60745,-16.406,15.8146
10.845,-9.94738,-16.8613,16.3918
10.85,-10.2931,-17.3046,17.0119
10.855,-10.6436,-17.7321,17.6756
10.86,-10.9981,-18.1397,18.3836
10.865,-11.3551,-18.5228,19.136
10.87,-11.7135,-18.8766,19.9325
