t,u[0],u[1],u[2]
0.81,-7.69741,-7.23538,26.7891
0.815,-7.67431,-7.20732,26.7104
0.82,-7.65096,-7.1824,26.6308
0.825,-7.62753,-7.16061,26.5505
0.83,-7.60418,-7.14195,26.4696
0.835,-7.58107,-7.12641,26.3882
0.84,-7.55834,-7.11396,26.3065
0.845,-7.53612,-7.1046,26.2246
0.85,-7.51454,-7.0983,26.1426
0.855,-7.49373,-7.09502,26.0608
0.86,-7.4738,-7.09474,25.9791
0.865,-7.45484,-7.09741,25.8979
0.87,-7.43697,-7.10301,25.8171
0.875,-7.42027,-7.11148,25.737
0.88,-7.40483,-7.12278,25.6577
0.885,-7.39073,-7.13686,25.5793
0.89,-7.37804,-7.15368,25.502
0.895,-7.36682,-7.17317,25.4259
0.9,-7.35714,-7.19529,25.3511
0.905,-7.34904,-7.21997,25.2777
0.91,-7.34259,-7.24716,25.206
0.915,-7.33782,-7.27678,25.136
0.92,-7.33477,-7.30879,25.0678
0.925,-7.33347,-7.34311,25.0016
0.93,-7.33395,-7.37967,24.9375
0.935,-7.33624,-7.4184,24.8756
0.94,-7.34034,-7.45923,24.8161
0.945,-7.34629,-7.50209,24.7589
0.95,-7.35408,-7.5469,24.7044
0.955,-7.36372,-7.59357,24.6525
0.96,-7.37521,-7.64204,24.6034
0.965,-7.38855,-7.6922,24.5571
0.97,-7.40374,-7.74399,24.5139
0.975,-7.42075,-7.7973,24.4737
0.98,-7.43958,-7.85205,24.4367
0.985,-7.4602,-7.90814,24.403
0.99,-7.4826,-7.96547,24.3726
0.995,-7.50674,-8.02394,24.3456
1,-7.5326,-8.08345,24.3222
1.005,-7.56014,-8.14389,24.3023
1.01,-7.58933,-8.20514,24.2861
1.015,-7.62012,-8.2671,24.2737
1.02,-7.65247,-8.32964,24.265
1.025,-7.68633,-8.39264,24.2602
1.03,-7.72164,-8.45597,24.2593
1.035,-7.75836,-8.5195,24.2623
1.04,-7.79642,-8.58311,24.2693
1.045,-7.83575,-8.64664,24.2803
1.05,-7.8763,-8.70996,24.2953
1.055,-7.91798,-8.77293,24.3144
1.06,-7.96073,-8.83539,24.3375
1.065,-8.00446,-8.89719,24.3647
1.07,-8.0491,-8.95818,24.3959
1.075,-8.09455,-9.01819,24.4311
1.08,-8.14073,-9.07707,24.4704
1.085,-8.18755,-9.13465,24.5136
1.09,-8.2349,-9.19076,24.5607
1.095,-8.2827,-9.24524,24.6116
1.1,-8.33082,-9.29793,24.6664
